USPS,GEOID,NAME,LAT,LNG,POPULATION,NAMEANDPOPULATION
GA,13297,Walton County,33.783887,-83.731829,23404,"Walton County, 23404"
GA,13299,Ware County,31.050881,-82.421507,33525,"Ware County, 33525"
GA,13301,Warren County,33.419169,-82.688012,6669,"Warren County, 6669"
GA,13303,Washington County,32.971848,-82.798112,17480,"Washington County, 17480"
GA,13305,Wayne County,31.547845,-81.912376,17858,"Wayne County, 17858"
GA,13307,Webster County,32.046691,-84.553828,2362,"Webster County, 2362"
GA,13309,Wheeler County,32.105268,-82.733865,4596,"Wheeler County, 4596"
GA,13311,White County,34.643776,-83.743417,7742,"White County, 7742"
GA,13313,Whitfield County,34.801726,-84.968541,55108,"Whitfield County, 55108"
GA,13315,Wilcox County,31.962717,-83.438262,6998,"Wilcox County, 6998"
GA,13317,Wilkes County,33.779031,-82.747921,10184,"Wilkes County, 10184"
GA,13319,Wilkinson County,32.804266,-83.175512,9393,"Wilkinson County, 9393"
GA,13321,Worth County,31.551773,-83.84996,14770,"Worth County, 14770"
